iter	Passed	Remaining
758	2086	662
759	2088	659
760	2091	656
761	2093	653
762	2095	651
763	2100	648
764	2103	646
765	2107	643
766	2127	646
767	2135	645
768	2137	642
769	2139	638
770	2141	635
771	2142	632
772	2144	629
773	2149	627
774	2151	624
775	2153	621
776	2155	618
777	2157	615
778	2159	612
779	2164	610
780	2167	607
781	2169	604
782	2171	601
783	2173	598
784	2175	595
785	2176	592
786	2178	589
787	2180	586
788	2182	583
789	2184	580
790	2188	578
791	2190	575
792	2192	572
793	2194	569
794	2196	566
795	2198	563
796	2200	560
797	2204	558
798	2206	555
799	2208	552
800	2210	549
801	2211	546
802	2213	543
803	2215	540
804	2219	537
805	2221	534
806	2223	531
807	2225	528
808	2227	525
809	2229	522
810	2231	519
811	2235	517
812	2237	514
813	2239	511
814	2241	508
815	2243	505
816	2245	503
817	2249	500
818	2251	497
819	2253	494
820	2256	491
821	2262	490
822	2265	487
823	2267	484
824	2269	481
825	2270	478
826	2272	475
827	2274	472
828	2279	470
829	2281	467
830	2283	464
831	2286	461
832	2288	458
833	2294	456
834	2296	453
835	2298	450
836	2300	448
837	2302	445
838	2304	442
839	2306	439
840	2308	436
841	2310	433
842	2314	431
843	2316	428
844	2318	425
845	2320	422
846	2322	419
847	2323	416
848	2325	413
849	2329	411
850	2331	408
851	2334	405
852	2336	402
853	2338	399
854	2340	396
855	2345	394
856	2348	391
857	2350	388
858	2352	386
859	2354	383
860	2355	380
861	2360	377
862	2362	375
863	2365	372
864	2368	369
865	2370	366
866	2375	364
867	2377	361
868	2379	358
869	2382	355
870	2384	353
871	2386	350
872	2388	347
873	2392	344
874	2395	342
875	2398	339
876	2404	337
877	2407	334
878	2409	331
879	2421	330
880	2423	327
881	2425	324
882	2448	324
883	2453	322
884	2464	320
885	2468	317
886	2473	315
887	2479	312
888	2482	309
889	2485	307
890	2494	305
891	2499	302
892	2510	300
893	2514	298
894	2518	295
895	2523	292
896	2525	290
897	2528	287
898	2531	284
899	2539	282
900	2542	279
901	2545	276
902	2547	273
903	2550	270
904	2553	268
905	2555	265
906	2557	262
907	2559	259
908	2562	256
909	2577	254
910	2579	252
911	2586	249
912	2588	246
913	2590	243
914	2591	240
915	2593	237
916	2598	235
917	2601	232
918	2603	229
919	2605	226
920	2607	223
921	2609	220
922	2614	218
923	2616	215
924	2618	212
925	2620	209
926	2622	206
927	2624	203
928	2628	200
929	2630	198
930	2633	195
931	2635	192
932	2639	189
933	2640	186
934	2642	183
935	2644	180
936	2646	177
937	2647	175
938	2649	172
939	2651	169
940	2653	166
941	2654	163
942	2656	160
943	2658	157
944	2659	154
945	2662	151
946	2664	149
947	2667	146
948	2669	143
949	2671	140
950	2672	137
951	2674	134
952	2675	131
953	2677	129
954	2678	126
955	2682	123
956	2684	120
957	2686	117
958	2688	114
959	2689	112
960	2691	109
961	2693	106
962	2696	103
963	2698	100
964	2700	97
965	2701	95
966	2703	92
967	2704	89
968	2706	86
969	2707	83
970	2709	80
971	2712	78
972	2714	75
973	2716	72
974	2717	69
975	2719	66
976	2720	64
977	2722	61
978	2726	58
979	2727	55
980	2729	52
981	2731	50
982	2732	47
983	2734	44
984	2735	41
985	2737	38
986	2741	36
987	2744	33
988	2746	30
989	2750	27
990	2758	25
991	2760	22
992	2762	19
993	2764	16
994	2766	13
995	2770	11
996	2772	8
997	2774	5
998	2776	2
999	2778	0
